    nBids      Const  PowerSeller  VerifyID  Sealed   Minblem   MajBlem  LargNeg  LogBook    MinBidShare
    1.0000    1.0000    1.0000         0         0    1.0000         0         0   -0.3621    0.1793
    6.0000    1.0000         0         0         0         0         0         0    1.4347   -0.2098
    1.0000    1.0000    1.0000         0         0         0         0    1.0000   -1.0254    0.2388
    5.0000    1.0000    1.0000         0         0         0    1.0000         0    0.5108   -0.4263
    7.0000    1.0000         0         0         0         0    1.0000         0    1.0758   -0.4685
         0    1.0000    1.0000         0         0         0         0         0    0.6073   -0.1745
    5.0000    1.0000         0         0         0    1.0000         0         0    1.4347   -0.4673
         0    1.0000    1.0000    1.0000         0         0         0         0    0.0332    0.6019
    6.0000    1.0000         0         0         0         0         0         0    1.4347   -0.4673
    6.0000    1.0000         0         0         0         0         0         0    1.0758   -0.3653
    3.0000    1.0000         0         0         0         0         0         0    0.3295   -0.3504
         0    1.0000    1.0000         0         0         0    1.0000         0    0.5108   -0.0969
    2.0000    1.0000    1.0000         0         0         0         0         0    0.7455    0.1651
    4.0000    1.0000         0         0         0         0         0         0    0.0332   -0.1295
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.9738    0.5061
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.4328
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.6398    0.2463
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.3960
    3.0000    1.0000         0         0         0    1.0000         0         0    0.3755   -0.2594
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.4608    0.3521
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.4739
    6.0000    1.0000         0         0         0         0         0         0    0.9205   -0.3931
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.1003
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.3033   -0.2640
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.1506    0.7543
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.7231    0.2910
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.4608    0.0905
    5.0000    1.0000    1.0000         0         0         0         0         0   -0.3033   -0.3114
    3.0000    1.0000         0         0         0         0         0         0    0.5108   -0.4767
    5.0000    1.0000         0         0         0         0         0         0    0.0534   -0.4381
    6.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
    5.0000    1.0000         0         0         0         0         0         0    1.9993   -0.5435
    5.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.2177
    6.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.2177
         0    1.0000    1.0000         0         0    1.0000         0         0    0.2001    0.2392
    5.0000    1.0000    1.0000         0         0         0    1.0000         0    0.5108   -0.4263
         0    1.0000    1.0000         0         0         0         0         0    0.0332    0.6019
    2.0000    1.0000    1.0000         0         0         0         0         0    0.7365    0.4506
    1.0000    1.0000         0         0         0         0         0         0   -1.0254    0.1211
    5.0000    1.0000         0         0         0         0         0         0    0.5108   -0.4273
    9.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
    6.0000    1.0000         0         0         0         0         0         0    1.4347   -0.2098
    1.0000    1.0000         0         0         0    1.0000         0         0   -1.0923    0.3645
         0    1.0000    1.0000         0         0         0         0         0    0.3295    0.4208
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.6398   -0.0505
    9.0000    1.0000    1.0000         0         0         0         0         0    0.5108   -0.4557
    6.0000    1.0000         0         0         0         0         0         0   -0.2237   -0.2352
    6.0000    1.0000         0         0         0         0         0    1.0000    0.9205   -0.4484
    4.0000    1.0000         0         0         0         0         0         0    0.7365    0.2605
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.2779   -0.2445
    7.0000    1.0000         0         0         0         0         0         0    0.0332   -0.3732
    4.0000    1.0000    1.0000         0         0         0         0         0    0.1487    0.0005
    5.0000    1.0000    1.0000         0         0         0         0         0   -0.3621   -0.2147
    5.0000    1.0000    1.0000         0         0    1.0000         0         0    0.1487   -0.4210
    6.0000    1.0000         0         0         0         0         0    1.0000    0.4040   -0.3611
    6.0000    1.0000    1.0000         0         0         0         0         0    0.9205   -0.5274
    5.0000    1.0000         0         0         0         0         0         0   -0.2477   -0.3620
    4.0000    1.0000         0         0         0         0         0         0    0.0332   -0.4148
    5.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
         0    1.0000    1.0000         0         0         0         0         0    2.8247    0.1510
         0    1.0000    1.0000         0         0         0         0         0    0.7365    0.4506
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.3539
    8.0000    1.0000         0         0         0         0         0    1.0000    0.7455   -0.4237
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.2477    0.0277
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.4988
    1.0000    1.0000    1.0000         0         0         0         0         0    0.5108    0.3109
    4.0000    1.0000    1.0000         0         0         0    1.0000         0    0.5108   -0.4263
         0    1.0000    1.0000         0         0         0         0         0    0.0332    0.3733
         0    1.0000    1.0000         0         0         0         0         0   -1.0254    0.9506
    9.0000    1.0000         0         0         0         0         0    1.0000    1.9993   -0.5337
    9.0000    1.0000         0         0         0         0         0         0    1.9993   -0.4466
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.1723    0.1466
    1.0000    1.0000    1.0000         0         0         0         0         0    0.5840    0.1906
    5.0000    1.0000         0         0         0         0         0         0    0.2189   -0.0865
    3.0000    1.0000    1.0000         0         0         0         0         0    0.5108    0.1046
    3.0000    1.0000    1.0000         0         0         0         0         0    0.1844    0.0521
         0    1.0000    1.0000         0         0         0         0         0   -1.0254    0.8317
    4.0000    1.0000    1.0000         0         0         0    1.0000         0    0.1487   -0.3602
    8.0000    1.0000    1.0000         0         0         0         0         0    0.2189   -0.3763
    4.0000    1.0000    1.0000         0         0         0         0         0    0.5108   -0.4318
    3.0000    1.0000    1.0000         0         0    1.0000         0         0   -0.9142    0.0518
    6.0000    1.0000    1.0000         0         0         0         0         0   -0.0520   -0.3215
    6.0000    1.0000    1.0000         0         0         0         0         0    0.0332   -0.3424
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.4608    0.3521
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.2477   -0.2661
    3.0000    1.0000    1.0000         0         0    1.0000         0         0   -0.9142    0.4739
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.2779   -0.0211
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.8141    0.3737
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.2634
         0    1.0000         0         0         0         0         0         0   -0.0767    0.3358
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.2634
    6.0000    1.0000    1.0000         0         0         0         0         0   -0.6398   -0.1385
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.3623
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.1506    0.4876
    7.0000    1.0000    1.0000         0         0         0         0         0   -0.3621   -0.2450
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.5976
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.5628    0.3105
         0    1.0000    1.0000         0         0         0         0         0   -0.3033    0.1646
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.4739
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.6044    0.2710
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.7231    0.2910
    8.0000    1.0000    1.0000         0         0         0         0         0    0.6740   -0.4596
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.7231    0.3780
         0    1.0000    1.0000         0         0         0         0         0   -0.6398    0.3015
    4.0000    1.0000    1.0000         0         0         0         0         0    0.5108   -0.4318
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254   -0.5777
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.7231    0.2041
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.3623
         0    1.0000    1.0000         0         0         0         0         0   -0.2779    0.1460
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.3623
         0    1.0000    1.0000         0         0         0         0         0   -0.7231    0.1606
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.8141    0.2785
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.8141    0.3737
    4.0000    1.0000    1.0000         0         0         0    1.0000         0    0.1487   -0.3602
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.4608    0.2912
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.4739
    4.0000    1.0000         0         0         0         0         0         0    0.6073   -0.0084
    7.0000    1.0000         0         0         0         0         0    1.0000    0.1487   -0.2980
    3.0000    1.0000         0         0    1.0000         0         0         0   -0.3621    0.3005
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.0520    0.0001
    1.0000    1.0000         0         0         0    1.0000         0         0   -0.3033    0.3737
    3.0000    1.0000         0         0    1.0000         0         0         0   -0.3621    0.3005
    4.0000    1.0000         0         0         0    1.0000         0         0    0.3755    0.1441
    1.0000    1.0000         0         0         0         0         0         0   -0.9142    0.6318
    6.0000    1.0000         0         0         0         0         0         0    1.4347   -0.4068
    2.0000    1.0000         0         0         0         0         0         0   -0.3960    0.0179
    6.0000    1.0000         0         0         0         0         0         0    0.9205   -0.4180
   10.0000    1.0000    1.0000         0         0         0         0         0    1.4347   -0.3265
         0    1.0000         0         0         0         0         0         0   -0.9142    0.5265
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.0520   -0.3215
         0    1.0000         0         0         0         0         0         0   -0.2477    0.2953
    3.0000    1.0000         0         0         0         0         0         0    0.0332   -0.1792
    1.0000    1.0000         0         0         0         0         0         0   -0.1723    0.1491
    1.0000    1.0000         0         0         0         0         0         0    0.5108    0.5094
    3.0000    1.0000         0         0         0         0         0         0   -0.0520    0.0845
    7.0000    1.0000    1.0000         0         0         0         0         0    0.5108   -0.4020
    4.0000    1.0000         0         0         0    1.0000         0         0    0.3755   -0.3765
    3.0000    1.0000    1.0000         0         0    1.0000         0         0    0.9205   -0.4610
    3.0000    1.0000    1.0000         0         0    1.0000         0         0    1.9993   -0.5380
    6.0000    1.0000    1.0000         0         0    1.0000         0         0    0.4040   -0.3822
    3.0000    1.0000         0         0         0         0         0         0    0.5840   -0.2497
    2.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.3207
    7.0000    1.0000         0         0         0         0         0         0   -0.0520   -0.4555
    5.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.0767   -0.3845
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.5976
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.6398   -0.1385
    3.0000    1.0000         0         0         0    1.0000         0         0   -0.3960    0.1997
   11.0000    1.0000         0         0    1.0000         0         0         0    0.2189   -0.0865
    2.0000    1.0000    1.0000         0         0    1.0000         0         0   -0.9142    0.4739
    4.0000    1.0000    1.0000         0         0         0         0    1.0000    0.3755   -0.1157
    5.0000    1.0000         0         0         0    1.0000         0    1.0000    0.3755   -0.3548
         0    1.0000    1.0000    1.0000         0         0         0         0    0.0332    0.6019
    3.0000    1.0000    1.0000    1.0000         0         0         0         0    0.3295    0.4208
    8.0000    1.0000         0         0         0         0         0    1.0000    0.6073   -0.4009
    8.0000    1.0000         0         0         0         0         0         0    0.3295   -0.3989
    5.0000    1.0000         0         0         0         0         0         0   -0.4608   -0.1837
         0    1.0000         0         0         0         0    1.0000         0   -0.0767    0.0806
    4.0000    1.0000    1.0000         0         0         0    1.0000         0    0.1487   -0.3602
    9.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
    5.0000    1.0000         0         0         0         0         0         0    0.5108   -0.1984
    3.0000    1.0000         0         0         0    1.0000         0         0   -0.5628   -0.0229
   11.0000    1.0000         0         0         0         0         0         0    0.9205   -0.4644
    6.0000    1.0000         0         0         0         0         0    1.0000    1.0758   -0.4670
    5.0000    1.0000         0         0         0         0         0         0    0.0332   -0.2536
    6.0000    1.0000         0         0         0         0         0         0    1.4347   -0.4979
    4.0000    1.0000    1.0000         0         0         0         0    1.0000   -0.4608    0.3521
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.1506    0.7543
    7.0000    1.0000    1.0000         0         0         0         0         0   -0.3033   -0.2640
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.2779   -0.0211
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.8141    0.3737
    2.0000    1.0000         0         0         0         0         0         0    0.1117    0.0638
    4.0000    1.0000         0         0         0         0         0         0    0.5108   -0.1473
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.3621   -0.2450
         0    1.0000         0         0         0         0    1.0000         0    2.8247    0.1307
    4.0000    1.0000         0         0         0         0         0         0    0.5108   -0.0207
    3.0000    1.0000         0         0         0         0         0         0    0.3755    0.0600
    5.0000    1.0000         0         0         0         0         0         0    1.9993   -0.2520
    4.0000    1.0000         0         0         0         0         0         0    0.4040   -0.0425
    6.0000    1.0000         0         0         0         0         0         0   -0.3033   -0.2640
    6.0000    1.0000         0         0         0         0         0         0   -0.3033   -0.2640
    8.0000    1.0000         0         0         0         0         0         0   -0.3033   -0.2640
    2.0000    1.0000         0         0         0         0         0         0   -0.7231    0.1162
    2.0000    1.0000         0         0         0         0         0         0   -0.9142    0.2623
    7.0000    1.0000         0         0         0         0         0         0    0.5108   -0.3503
    7.0000    1.0000         0         0         0         0         0         0    1.1181   -0.4124
    4.0000    1.0000         0         0         0         0         0         0    0.1844   -0.2626
    5.0000    1.0000         0         0         0         0         0         0    0.3157   -0.2091
    5.0000    1.0000    1.0000         0         0         0         0         0   -0.9142   -0.1629
    7.0000    1.0000         0         0         0         0         0    1.0000    1.9993   -0.5337
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.0528
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9738    0.0916
    6.0000    1.0000    1.0000         0    1.0000         0         0         0    0.8863   -0.4812
    6.0000    1.0000    1.0000         0         0         0         0         0   -0.6398   -0.0985
    5.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.0568
